case_id,route,gap_file,spec,annotator1_yn,annotator2_yn,final
rq2_001,"actual_desktop:packages/desktop-client/src/components/transactions/TransactionsTable.tsx","packages/desktop-client/src/components/transactions/TransactionsTable.tsx","import { test, expect } from './fixtures';

test('exercises new UI elements and verifies visibility', async ({ page }) => {
  // Fill the first input cell
  await page.locator('inputcell').first().fill('test data');

  // Click the button
  await page.locator('button').click();

  // Assert that the sheet name provider is visible
  await expect(page.locator('sheetnameprovider')).toBeVisible();

  // Assert that a custom cell is visible
  await expect(page.locator('customcell').first()).toBeVisible();
});
",,,
rq2_002,"actual_desktop:packages/desktop-client/src/components/transactions/TransactionsTable.tsx","packages/desktop-client/src/components/transactions/TransactionsTable.tsx","import { test, expect } from './fixtures';

test('smoke test for actual_desktop', async ({ page }) => {
  await page.goto('/#/');
  // Wait for the application to load
  await page.waitForLoadState('networkidle');
  // Verify key UI elements are present
  await expect(page.locator('[data-testid=""budget-header""]')).toBeVisible();
  await expect(page.locator('text=Budget')).toBeVisible();
});
",,,
rq2_003,"actual_desktop:packages/desktop-client/src/components/schedules/SchedulesTable.tsx","packages/desktop-client/src/components/schedules/SchedulesTable.tsx","import { test, expect } from './fixtures';

test('exercise new UI elements', async ({ page }) => {
  await page.setContent(`
    <cell></cell>
    <view>±</view>
    <financialtext></financialtext>
    <field></field>
    <field></field>
    <field></field>
    <field></field>
    <field></field>
    <field></field>
  `);

  // Locate all elements
  const cell = page.locator('cell');
  const viewPlusMinus = page.getByText('±');
  const financialText = page.locator('financialtext');
  const fields = page.locator('field');

  // Assert initial visibility
  await expect(cell).toBeVisible();
  await expect(viewPlusMinus).toBeVisible();
  await expect(financialText).toBeVisible();
  await expect(fields.first()).toBeVisible();

  // Interact with the view (±)
  await viewPlusMinus.click();

  // Fill the first field
  await fields.first().fill('123');

  // Verify field value and that view is still visible
  await expect(fields.first()).toHaveValue('123');
  await expect(viewPlusMinus).toBeVisible();
});
",,,
rq2_004,"actual_desktop:packages/desktop-client/src/components/schedules/SchedulesTable.tsx","packages/desktop-client/src/components/schedules/SchedulesTable.tsx","import { test, expect } from './fixtures';

test('smoke test: add an expense and verify budget summary on actual_desktop', async ({ page }) => {
  // Navigate to the main page
  await page.goto('/#/');
  
  // Wait for the app to load (e.g., a budget table or ""Add Expense"" button)
  await page.waitForSelector('button:has-text(""Add Expense"")', { timeout: 10000 });

  // Click ""Add Expense"" to open the form
  await page.click('button:has-text(""Add Expense"")');

  // Fill in expense details
  await page.fill('input[name=""description""]', 'Test Expense');
  await page.fill('input[name=""amount""]', '42.50');
  await page.selectOption('select[name=""category""]', 'Food');

  // Submit the expense
  await page.click('button[type=""submit""]:has-text(""Save"")');

  // Wait for the table to update
  await page.waitForTimeout(1000);

  // Verify the expense appears in the table
  const expenseRow = page.locator('table tbody tr', { hasText: 'Test Expense' });
  await expect(expenseRow).toBeVisible();
  await expect(expenseRow.locator('td:nth-child(2)')).toHaveText('42.50');
  await expect(expenseRow.locator('td:nth-child(3)')).toHaveText('Food');

  // Navigate to budget summary (assuming a separate route)
  await page.goto('/#/budget');
  await page.waitForSelector('h1:has-text(""Budget Summary"")', { timeout: 5000 });

  // Verify the total spent includes our expense
  const totalSpent = page.locator('[data-testid=""total-spent""]');
  await expect(totalSpent).toHaveText(/\$42\.50/);
});
",,,
rq2_005,"actual_desktop:packages/desktop-client/src/components/modals/SelectLinkedAccountsModal.tsx","packages/desktop-client/src/components/modals/SelectLinkedAccountsModal.tsx","import { test, expect } from './fixtures';

test('actual_desktop SelectLinkedAccountsModal.tsx changed UI', async ({ page }) => {
  await expect(page.locator('body')).toBeVisible();
});
",,,
rq2_006,"actual_desktop:packages/desktop-client/src/components/modals/SelectLinkedAccountsModal.tsx","packages/desktop-client/src/components/modals/SelectLinkedAccountsModal.tsx","import { test, expect } from './fixtures';

test('smoke test: main page loads correctly', async ({ page }) => {
  await page.goto('/#/');
  await expect(page.locator('body')).toBeVisible();
  await expect(page).toHaveURL('/#/');
});
",,,
rq2_007,"actual_desktop:packages/desktop-client/src/components/rules/RuleEditor.tsx","packages/desktop-client/src/components/rules/RuleEditor.tsx","import { test, expect } from './fixtures';

test('exercises new UI elements and asserts visible outcome', async ({ page }) => {
  // Navigate to the page that contains the rule builder
  await page.goto('/');

  // Interact with the all/any conditions selector
  const conditionsOp = page.locator('[data-testid=""conditions-op""]');
  await conditionsOp.selectOption('any');

  // Fill in the first condition: select field, operator, value
  const fieldSelects = page.locator('[data-testid=""condition-list""] [data-testid=""field-select""]');
  const opSelects = page.locator('[data-testid=""condition-list""] [data-testid=""op-select""]');
  const editorRows = page.locator('[data-testid=""condition-list""] [data-testid=""editor-row""]');

  // First condition
  await fieldSelects.nth(0).selectOption('amount');
  await opSelects.nth(0).selectOption('greaterThan');
  await editorRows.nth(0).fill('100');

  // Second condition (the second field-select exists because the list renders multiple conditions)
  await fieldSelects.nth(1).selectOption('date');
  await opSelects.nth(1).selectOption('is');
  await editorRows.nth(1).fill('today');

  // Assert that the condition list contains the entered values
  await expect(page.locator('[data-testid=""condition-list""]')).toContainText('100');
  await expect(page.locator('[data-testid=""condition-list""]')).toContainText('today');

  // Assert that the action split list and action list are visible
  await expect(page.locator('[data-testid=""action-split-list""]')).toBeVisible();
  await expect(page.locator('[data-testid=""action-list""]').first()).toBeVisible();
});
",,,
rq2_008,"actual_desktop:packages/desktop-client/src/components/rules/RuleEditor.tsx","packages/desktop-client/src/components/rules/RuleEditor.tsx","import { test, expect } from './fixtures';

test('smoke test - budget page loads', async ({ page }) => {
  await page.goto('/#/');
  // Wait for the budget page to render (e.g., a heading or key element)
  await expect(page.locator('h1:has-text(""Budget"")')).toBeVisible({ timeout: 15000 });
});
",,,
rq2_009,"actual_desktop:packages/desktop-client/src/components/reports/reports/Formula.tsx","packages/desktop-client/src/components/reports/reports/Formula.tsx","import { test, expect } from './fixtures';

test('exercise new UI elements and assert visibility', async ({ page }) => {
  // Navigate to a page where these elements exist.
  // Adjust the URL as needed for your application.
  await page.goto('/');

  // Locate each element by its tag name.
  const mobilePageHeader = page.locator('mobilepageheader');
  const pageHeader = page.locator('pageheader');
  const editablePageHeaderTitle = page.locator('editablepageheadertitle');
  const button = page.locator('button');
  const label = page.locator('label');
  const select = page.locator('select');
  const input = page.locator('input');

  // Assert all elements are visible.
  await expect(mobilePageHeader).toBeVisible();
  await expect(pageHeader).toBeVisible();
  await expect(editablePageHeaderTitle).toBeVisible();
  await expect(button).toBeVisible();
  await expect(label).toBeVisible();
  await expect(select).toBeVisible();
  await expect(input).toBeVisible();

  // Interact with the elements to exercise them.
  // Fill the input with text.
  await input.fill('Test input value');

  // Select an option from the select (assuming there is at least one option).
  // Use a value or label that exists in your app; fallback to selecting by index.
  const options = await select.locator('option').all();
  if (options.length > 0) {
    await select.selectOption({ index: 0 });
  }

  // Click the button.
  await button.click();

  // After interaction, verify that the elements remain visible.
  // This is a simple visible outcome assertion.
  await expect(mobilePageHeader).toBeVisible();
  await expect(pageHeader).toBeVisible();
  await expect(editablePageHeaderTitle).toBeVisible();
  await expect(button).toBeVisible();
  await expect(label).toBeVisible();
  await expect(select).toBeVisible();
  await expect(input).toBeVisible();
});
",,,
rq2_010,"actual_desktop:packages/desktop-client/src/components/reports/reports/Formula.tsx","packages/desktop-client/src/components/reports/reports/Formula.tsx","import { test, expect } from './fixtures';

test('smoke test - add item to cart and verify in cart', async ({ page }) => {
  // Navigate to the home page
  await page.goto('/#/');

  // Wait for product list to be visible
  await page.waitForSelector('[data-testid=""product-item""]');

  // Add the first product to the cart
  await page.click('[data-testid=""product-item""] [data-testid=""add-to-cart""]');

  // Navigate to the cart page
  await page.goto('/#/cart');

  // Verify that a cart item is visible
  await expect(page.locator('[data-testid=""cart-item""]')).toBeVisible();
});
",,,
