case_id,rb_id,repo,framework,test_file_path,line_no,old_locator,human1,human2,final
rb001,1169,"ghiscoding/angular-slickgrid",cypress,"test/cypress/e2e/example01.cy.ts",40,"cy.get('.slick-header-menu')",,,
rb002,1180,"ghiscoding/angular-slickgrid",cypress,"test/cypress/e2e/example03.cy.ts",47,"cy.get(`[style=""top:${GRID_ROW_HEIGHT * 2}px""] > .slick-cell:nth(2)`)",,,
rb003,1181,"ghiscoding/angular-slickgrid",cypress,"test/cypress/e2e/example03.cy.ts",53,"cy.get(`[style=""top:${GRID_ROW_HEIGHT * 2}px""] > .slick-cell:nth(2)`)",,,
rb004,1182,"ghiscoding/angular-slickgrid",cypress,"test/cypress/e2e/example03.cy.ts",56,"cy.get(`[style=""top:${GRID_ROW_HEIGHT * 2}px""] > .slick-cell:nth(4)`)",,,
rb005,1183,"ghiscoding/angular-slickgrid",cypress,"test/cypress/e2e/example03.cy.ts",60,"cy.get(`[style=""top:${GRID_ROW_HEIGHT * 2}px""] > .slick-cell:nth(4)`)",,,
rb006,1184,"ghiscoding/angular-slickgrid",cypress,"test/cypress/e2e/example03.cy.ts",63,"cy.get(`[style=""top:${GRID_ROW_HEIGHT * 2}px""] > .slick-cell:nth(5)`)",,,
rb007,1185,"ghiscoding/angular-slickgrid",cypress,"test/cypress/e2e/example03.cy.ts",69,"cy.get(`[style=""top:${GRID_ROW_HEIGHT * 2}px""] > .slick-cell:nth(6)`)",,,
rb008,1186,"ghiscoding/angular-slickgrid",cypress,"test/cypress/e2e/example03.cy.ts",74,"cy.get(`[style=""top:${GRID_ROW_HEIGHT * 2}px""] > .slick-cell:nth(6)`)",,,
rb009,1452,"ghiscoding/angular-slickgrid",cypress,"test/cypress/e2e/example30.cy.ts",366,"cy.get(`[style=""top:${GRID_ROW_HEIGHT * 0}px""] > .slick-cell:nth(3)`)",,,
rb010,1481,"ghiscoding/angular-slickgrid",cypress,"test/cypress/e2e/example31.cy.ts",97,"cy.get(`[style=""top:${GRID_ROW_HEIGHT * 3}px""] > .slick-cell:nth(0)",,,
rb011,5435,"microsoft/playwright",playwright,"tests/page/page-wait-for-navigation.spec.ts",258,"page.$eval('iframe', frame => window.builtinSetTimeout(()",,,
rb012,5650,"microsoft/playwright",playwright,"tests/playwright-test/ui-mode-test-update.spec.ts",218,"page.getByRole('treeitem')",,,
rb013,5651,"microsoft/playwright",playwright,"tests/playwright-test/ui-mode-test-update.spec.ts",218,"page.getByRole('listitem')",,,
rb014,5656,"microsoft/playwright",playwright,"tests/playwright-test/ui-mode-test-watch.spec.ts",107,"page.getByRole('treeitem')",,,
rb015,5657,"microsoft/playwright",playwright,"tests/playwright-test/ui-mode-test-watch.spec.ts",109,"page.getByRole('treeitem')",,,
rb016,5662,"microsoft/playwright",playwright,"tests/playwright-test/ui-mode-test-watch.spec.ts",78,"page.getByRole('listitem')",,,
rb017,5664,"microsoft/playwright",playwright,"tests/playwright-test/ui-mode-test-watch.spec.ts",107,"page.getByRole('listitem')",,,
rb018,5665,"microsoft/playwright",playwright,"tests/playwright-test/ui-mode-test-watch.spec.ts",109,"page.getByRole('listitem')",,,
rb019,5666,"microsoft/playwright",playwright,"tests/playwright-test/ui-mode-test-watch.spec.ts",111,"page.getByRole('listitem')",,,
rb020,5667,"microsoft/playwright",playwright,"tests/playwright-test/ui-mode-test-watch.spec.ts",232,"page.getByRole('listitem')",,,
rb021,3458,"nasa/openmct",playwright,"e2e/tests/functional/plugins/lad/lad.e2e.spec.js",71,"page.getByRole('cell', { name: 'Timestamp', exact: true }))",,,
rb022,3484,"nasa/openmct",playwright,"e2e/tests/functional/plugins/lad/lad.e2e.spec.js",153,"page.getByRole('cell', { name: 'Type' }))",,,
rb023,3488,"nasa/openmct",playwright,"e2e/tests/functional/plugins/lad/lad.e2e.spec.js",190,"page.getByRole('cell', { name: 'Type' }))",,,
rb024,3489,"nasa/openmct",playwright,"e2e/tests/functional/plugins/lad/lad.e2e.spec.js",210,"page.getByRole('cell', { name: 'Timestamp' }))",,,
rb025,3514,"nasa/openmct",playwright,"e2e/tests/functional/plugins/plot/autoscale.e2e.spec.js",77,"page.waitForSelector('.c-message-banner__message')",,,
rb026,3515,"nasa/openmct",playwright,"e2e/tests/functional/plugins/plot/autoscale.e2e.spec.js",81,"page.waitForSelector('.c-message-banner__message', { state: 'detached' })",,,
rb027,3550,"nasa/openmct",playwright,"e2e/tests/functional/plugins/plot/overlayPlot.e2e.spec.js",384,"page.waitForSelector('.js-limit-area', { state: 'attached' })",,,
rb028,3556,"nasa/openmct",playwright,"e2e/tests/functional/plugins/plot/overlayPlot.e2e.spec.js",56,"page.locator('.gl-plot-label > .plot-series-color-swatch')",,,
rb029,3558,"nasa/openmct",playwright,"e2e/tests/functional/plugins/plot/plotRendering.e2e.spec.js",81,"page.getByRole('button', { name: 'OK', exact: true })",,,
rb030,3559,"nasa/openmct",playwright,"e2e/tests/functional/plugins/plot/plotRendering.e2e.spec.js",76,"page.locator('[title=""More options""]')",,,
